reviewer_id,domain,arm,reliance_class,risk_level,intervention_type,n_cases_affected_total,n_cases_made_worse,n_cases_made_better,net_wrong_cases_added,n_practice_reps_gained,skill_gain_units,exam_acc_gain_est,arm_exam_baseline,projected_exam_with_intv,cost_per_exam_point
C000,code_review,control_always_ai,UNDER,HIGH,confidence_calibration_feedback,0,0.0,29.0,-29.0,0.0,0.0,0.0,0.609,0.609,0.0
C001,code_review,blind_first,WATCH,MEDIUM,forced_blind_cases (light) + disagreement_prompts (targeted),122,22.6,6.1,16.5,88.5,0.2901,0.0307,0.817,0.8477,737.0
C002,code_review,withheld_ai,APPROPRIATE,LOW,none,0,0.0,0.0,0.0,0.0,0.0,0.0,0.697,0.697,inf
C003,code_review,disagreement_prompt,WATCH,MEDIUM,forced_blind_cases (light) + disagreement_prompts (targeted),131,39.8,5.2,34.6,98.7,0.3239,0.0342,0.8,0.8342,1162.6
C004,code_review,control_always_ai,WATCH,MEDIUM,forced_blind_cases (light) + disagreement_prompts (targeted),132,34.0,5.9,28.1,98.9,0.3243,0.0343,0.609,0.6433,990.9
C005,code_review,blind_first,APPROPRIATE,LOW,none,0,0.0,0.0,0.0,0.0,0.0,0.0,0.817,0.817,inf
C006,code_review,withheld_ai,UNDER,HIGH,confidence_calibration_feedback,0,0.0,22.0,-22.0,0.0,0.0,0.0,0.697,0.697,0.0
C007,code_review,disagreement_prompt,WATCH,MEDIUM,forced_blind_cases (light) + disagreement_prompts (targeted),112,15.0,6.5,8.4,85.1,0.279,0.0295,0.8,0.8295,507.6
C008,code_review,control_always_ai,WATCH,MEDIUM,forced_blind_cases (light) + disagreement_prompts (targeted),126,28.1,5.9,22.2,92.8,0.3043,0.0322,0.609,0.6412,872.4
C009,code_review,blind_first,UNDER,HIGH,confidence_calibration_feedback,0,0.0,27.0,-27.0,0.0,0.0,0.0,0.817,0.817,0.0
C010,code_review,withheld_ai,OVER,HIGH,forced_blind_cases + disagreement_prompts + workload_rebalancing,263,50.2,13.1,37.1,192.3,0.6308,0.0667,0.697,0.7637,752.3
C011,code_review,disagreement_prompt,APPROPRIATE,LOW,none,0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,inf
C012,code_review,control_always_ai,APPROPRIATE,LOW,none,0,0.0,0.0,0.0,0.0,0.0,0.0,0.609,0.609,inf
C013,code_review,blind_first,WATCH,MEDIUM,forced_blind_cases (light) + disagreement_prompts (targeted),133,58.4,3.1,55.3,97.3,0.3192,0.0337,0.817,0.8507,1730.6
C014,code_review,withheld_ai,UNDER,HIGH,confidence_calibration_feedback,0,0.0,50.0,-50.0,0.0,0.0,0.0,0.697,0.697,0.0
C015,code_review,disagreement_prompt,APPROPRIATE,LOW,none,0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,inf
R000,chest_xray_triage,control_always_ai,UNDER,LOW,confidence_calibration_feedback,0,0.0,18.0,-18.0,0.0,0.0,0.0,0.609,0.609,0.0
R001,chest_xray_triage,blind_first,APPROPRIATE,LOW,none,0,0.0,0.0,0.0,0.0,0.0,0.0,0.817,0.817,inf
R002,chest_xray_triage,withheld_ai,WATCH,MEDIUM,forced_blind_cases (light) + disagreement_prompts (targeted),120,18.6,6.5,12.2,89.9,0.2949,0.0312,0.697,0.7282,598.2
R003,chest_xray_triage,disagreement_prompt,APPROPRIATE,LOW,none,0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,inf
