case_id,case_type,difficulty,ai_correct
CASE000001,routine,-0.936,1
CASE000002,ambiguous,0.279,0
CASE000003,routine,-0.508,1
CASE000004,routine,-0.288,1
CASE000005,routine,-0.499,1
CASE000006,routine,-0.315,1
CASE000007,ambiguous,0.551,1
CASE000008,routine,-0.117,1
CASE000009,routine,-0.089,1
CASE000010,routine,-0.63,1
CASE000011,routine,0.016,1
CASE000012,ambiguous,0.104,1
CASE000013,routine,-0.762,1
CASE000014,ambiguous,1.122,1
CASE000015,routine,-0.322,1
CASE000016,routine,-0.61,1
CASE000017,ambiguous,0.685,0
CASE000018,routine,-0.393,1
CASE000019,routine,-0.066,1
CASE000020,routine,-0.455,0
CASE000021,routine,-0.608,1
CASE000022,routine,-0.681,1
CASE000023,routine,-0.57,1
CASE000024,routine,-0.262,1
CASE000025,routine,-0.744,1
CASE000026,routine,-0.803,1
CASE000027,routine,-0.279,1
CASE000028,routine,-0.221,1
CASE000029,routine,-0.386,1
CASE000030,routine,0.413,1
CASE000031,ambiguous,1.259,1
CASE000032,routine,-0.675,1
CASE000033,routine,-1.209,1
CASE000034,routine,-0.471,1
CASE000035,routine,-0.066,1
CASE000036,ambiguous,0.599,1
CASE000037,routine,-0.703,1
CASE000038,atypical,0.601,0
CASE000039,routine,-0.298,0
CASE000040,routine,0.013,1
CASE000041,routine,-0.624,1
CASE000042,routine,-0.753,1
CASE000043,routine,-0.783,1
CASE000044,atypical,1.943,0
CASE000045,atypical,0.584,1
CASE000046,routine,-0.225,1
CASE000047,routine,0.091,1
CASE000048,routine,-0.124,1
CASE000049,routine,-0.579,1
CASE000050,routine,-0.284,1
CASE000051,routine,-0.154,1
CASE000052,routine,-0.178,1
CASE000053,routine,-0.502,1
CASE000054,routine,-0.46,1
CASE000055,routine,-0.759,1
CASE000056,routine,0.073,1
CASE000057,routine,-0.759,1
CASE000058,routine,-1.261,1
CASE000059,ambiguous,1.011,1
CASE000060,routine,-0.472,1
CASE000061,routine,-0.564,1
CASE000062,routine,-0.397,1
CASE000063,routine,-0.896,1
CASE000064,routine,-0.705,1
CASE000065,ambiguous,0.444,1
CASE000066,atypical,1.213,1
CASE000067,ambiguous,0.488,1
CASE000068,ambiguous,0.142,1
CASE000069,routine,-0.549,1
CASE000070,ambiguous,0.375,1
CASE000071,routine,-0.268,0
CASE000072,routine,-0.43,1
CASE000073,ambiguous,0.667,1
CASE000074,ambiguous,0.598,1
CASE000075,atypical,2.433,0
CASE000076,routine,-0.538,1
CASE000077,routine,-0.817,1
CASE000078,atypical,1.512,1
CASE000079,atypical,1.185,1
CASE000080,routine,-0.017,1
CASE000081,routine,-0.325,1
CASE000082,ambiguous,0.475,1
CASE000083,atypical,1.179,0
CASE000084,routine,-0.643,1
CASE000085,routine,-0.28,1
CASE000086,routine,-0.475,1
CASE000087,ambiguous,0.63,1
CASE000088,routine,-0.456,1
CASE000089,ambiguous,0.77,0
CASE000090,routine,-0.442,1
CASE000091,routine,-0.122,1
CASE000092,routine,-0.262,1
CASE000093,atypical,1.577,1
CASE000094,routine,0.059,1
CASE000095,routine,-0.359,1
CASE000096,routine,0.152,1
CASE000097,routine,-0.774,1
CASE000098,routine,-0.432,1
CASE000099,routine,-0.186,1
CASE000100,ambiguous,-0.384,1
CASE000101,routine,0.019,1
CASE000102,routine,-0.507,1
CASE000103,routine,-0.461,1
CASE000104,routine,-0.291,0
CASE000105,routine,-0.27,1
CASE000106,routine,0.384,1
CASE000107,ambiguous,0.55,1
CASE000108,routine,-0.17,1
CASE000109,routine,-0.749,1
CASE000110,routine,-1.026,1
CASE000111,routine,-0.515,1
CASE000112,routine,-0.578,1
CASE000113,ambiguous,0.538,1
CASE000114,routine,-0.598,1
CASE000115,routine,-0.244,1
CASE000116,routine,-0.224,1
CASE000117,routine,-0.532,1
CASE000118,routine,0.292,1
CASE000119,ambiguous,0.625,1
CASE000120,routine,-0.423,1
CASE000121,routine,-0.546,1
CASE000122,routine,-0.665,1
CASE000123,routine,-0.731,1
CASE000124,ambiguous,0.792,1
CASE000125,routine,-0.612,0
CASE000126,routine,0.091,1
CASE000127,routine,-1.222,1
CASE000128,ambiguous,0.49,1
CASE000129,routine,-0.551,1
CASE000130,routine,-0.133,1
CASE000131,routine,-0.304,1
CASE000132,routine,-0.647,1
CASE000133,ambiguous,0.674,1
CASE000134,routine,0.165,1
CASE000135,ambiguous,0.719,1
CASE000136,routine,-0.919,1
CASE000137,routine,-0.872,1
CASE000138,routine,-0.67,1
CASE000139,routine,-0.235,1
CASE000140,routine,-0.614,0
CASE000141,routine,-0.423,1
CASE000142,routine,-0.412,1
CASE000143,routine,-0.503,1
CASE000144,ambiguous,0.426,1
CASE000145,routine,-0.689,1
CASE000146,routine,-0.303,1
CASE000147,ambiguous,0.898,1
CASE000148,routine,-0.393,1
CASE000149,routine,-1.026,1
CASE000150,ambiguous,0.828,1
CASE000151,routine,0.28,1
CASE000152,routine,-0.735,1
CASE000153,atypical,1.426,1
CASE000154,routine,-0.115,1
CASE000155,ambiguous,0.748,0
CASE000156,routine,-0.913,1
CASE000157,ambiguous,0.354,0
CASE000158,routine,-0.561,1
CASE000159,routine,-0.504,1
CASE000160,routine,-0.523,1
CASE000161,routine,-1.264,1
CASE000162,ambiguous,0.202,1
CASE000163,routine,-0.003,1
CASE000164,routine,-0.525,0
CASE000165,routine,-0.592,1
CASE000166,ambiguous,0.718,1
CASE000167,routine,-0.837,1
CASE000168,ambiguous,0.354,1
CASE000169,routine,-0.75,1
CASE000170,routine,-0.784,1
CASE000171,routine,-0.221,1
CASE000172,ambiguous,0.189,1
CASE000173,routine,-0.526,1
CASE000174,atypical,1.683,0
CASE000175,routine,-0.002,1
CASE000176,routine,-0.556,1
CASE000177,ambiguous,0.429,1
CASE000178,routine,-0.685,1
CASE000179,ambiguous,0.256,1
CASE000180,routine,-0.446,1
CASE000181,ambiguous,0.764,1
CASE000182,ambiguous,0.527,1
CASE000183,routine,-0.419,1
CASE000184,routine,-0.222,0
CASE000185,routine,-0.87,1
CASE000186,routine,0.06,1
CASE000187,routine,-0.601,1
CASE000188,routine,-0.562,0
CASE000189,routine,-0.219,1
CASE000190,routine,-1.061,1
CASE000191,routine,-0.353,1
CASE000192,atypical,1.67,1
CASE000193,routine,-0.405,1
CASE000194,routine,-0.309,1
CASE000195,routine,-0.164,1
CASE000196,routine,-0.741,1
CASE000197,routine,0.244,1
CASE000198,routine,-0.611,1
CASE000199,routine,-0.499,1
CASE000200,routine,-0.969,1
CASE000201,routine,-0.702,1
CASE000202,routine,-0.328,1
CASE000203,atypical,1.726,0
CASE000204,ambiguous,0.832,1
CASE000205,routine,-0.523,1
CASE000206,routine,-0.677,1
CASE000207,routine,-0.466,1
CASE000208,routine,-0.512,1
CASE000209,ambiguous,1.188,1
CASE000210,atypical,1.169,1
CASE000211,routine,0.283,1
CASE000212,routine,-0.178,1
CASE000213,routine,-0.739,1
CASE000214,ambiguous,0.765,1
CASE000215,routine,-0.283,1
CASE000216,routine,-0.873,1
CASE000217,ambiguous,0.717,1
CASE000218,ambiguous,0.45,1
CASE000219,routine,-0.106,1
CASE000220,routine,0.126,1
CASE000221,routine,-0.889,1
CASE000222,ambiguous,0.522,1
CASE000223,routine,-0.263,1
CASE000224,routine,-0.074,1
CASE000225,routine,-0.393,1
CASE000226,atypical,0.798,1
CASE000227,ambiguous,1.098,1
CASE000228,routine,-0.527,1
CASE000229,routine,-0.277,0
CASE000230,atypical,1.168,0
CASE000231,routine,-0.616,1
CASE000232,atypical,0.665,0
CASE000233,ambiguous,0.681,1
CASE000234,routine,-0.569,1
CASE000235,routine,-0.146,1
CASE000236,atypical,1.313,0
CASE000237,ambiguous,0.368,1
CASE000238,routine,-0.472,1
CASE000239,ambiguous,0.997,1
CASE000240,routine,0.113,1
CASE000241,atypical,0.808,0
CASE000242,routine,-0.366,1
CASE000243,routine,-0.096,1
CASE000244,atypical,1.727,1
CASE000245,routine,-0.31,1
CASE000246,routine,-0.619,1
CASE000247,routine,-0.436,1
CASE000248,atypical,1.473,1
CASE000249,routine,-0.314,1
CASE000250,ambiguous,0.685,1
CASE000251,routine,-0.302,1
CASE000252,routine,-0.262,1
CASE000253,atypical,1.499,1
CASE000254,routine,0.075,1
CASE000255,routine,-0.742,1
CASE000256,routine,0.037,1
CASE000257,ambiguous,0.557,1
CASE000258,routine,-0.355,1
CASE000259,routine,-1.083,1
CASE000260,routine,-0.544,1
CASE000261,routine,-1.264,1
CASE000262,atypical,1.393,0
CASE000263,routine,-0.656,1
CASE000264,ambiguous,1.018,0
CASE000265,routine,-0.582,1
CASE000266,atypical,1.245,0
CASE000267,routine,-1.025,1
CASE000268,atypical,1.454,1
CASE000269,routine,-0.297,1
CASE000270,routine,-0.637,1
CASE000271,routine,-0.603,1
CASE000272,routine,-0.34,1
CASE000273,atypical,1.081,0
CASE000274,routine,-0.531,0
CASE000275,routine,-0.397,1
CASE000276,routine,-0.614,1
CASE000277,atypical,1.44,1
CASE000278,routine,-0.558,1
CASE000279,ambiguous,0.632,1
CASE000280,ambiguous,0.986,1
CASE000281,routine,-0.34,1
CASE000282,routine,-0.061,1
CASE000283,routine,-0.072,1
CASE000284,routine,-0.572,0
CASE000285,routine,-0.056,1
CASE000286,routine,-0.537,1
CASE000287,routine,-0.786,0
CASE000288,routine,-0.797,1
CASE000289,routine,-0.04,1
CASE000290,routine,-0.67,1
CASE000291,routine,-0.051,1
CASE000292,routine,-0.154,1
CASE000293,routine,-0.271,1
CASE000294,ambiguous,0.557,1
CASE000295,routine,-0.42,1
CASE000296,routine,-1.068,0
CASE000297,ambiguous,1.0,1
CASE000298,routine,-0.413,1
CASE000299,routine,-0.339,1
CASE000300,routine,-0.485,1
CASE000301,routine,-0.733,1
CASE000302,ambiguous,0.358,1
CASE000303,routine,-0.088,1
CASE000304,routine,-1.027,1
CASE000305,ambiguous,0.543,0
CASE000306,routine,-0.495,1
CASE000307,routine,-0.238,1
CASE000308,routine,-0.06,1
CASE000309,routine,-0.044,1
CASE000310,routine,-0.363,1
CASE000311,routine,-0.547,0
CASE000312,routine,-0.478,1
CASE000313,routine,-0.596,1
CASE000314,routine,-0.149,1
CASE000315,routine,0.524,1
