arm,baseline_skill,defer_frac,exam_accuracy,latent_skill,practice_frac,reviewer_id,skill_change_from_baseline,under_reliant,week
,,0.32,,0.9032,0.04,R000,,,1
,,0.64,,0.8725,0.0,R000,,,2
,,0.48,,0.819,0.0,R000,,,3
,,0.64,,0.7797,0.04,R000,,,4
,,0.4,,0.7622,0.08,R000,,,5
,,0.6,,0.7432,0.0,R000,,,6
,,0.48,,0.7382,0.08,R000,,,7
,,0.52,,0.73,0.04,R000,,,8
,,0.56,,0.7364,0.04,R000,,,9
,,0.6,,0.7042,0.0,R000,,,10
,,0.48,,0.7138,0.0,R000,,,11
,,0.56,,0.6426,0.0,R000,,,12
,,0.6,,0.6389,0.04,R000,,,13
,,0.64,,0.629,0.04,R000,,,14
,,0.64,,0.6263,0.04,R000,,,15
,,0.68,,0.5975,0.0,R000,,,16
,,0.76,,0.5486,0.04,R000,,,17
,,0.88,,0.5436,0.04,R000,,,18
,,0.64,,0.5534,0.04,R000,,,19
,,0.72,,0.5397,0.0,R000,,,20
,,0.72,,0.4835,0.08,R000,,,21
,,0.84,,0.4411,0.04,R000,,,22
,,0.88,,0.4045,0.04,R000,,,23
,,0.8,,0.3617,0.04,R000,,,24
control_always_ai,0.9096,,0.7,0.3617,,R000,-0.5479,0,exam
,,0.24,,1.5862,1.0,R001,,,1
,,0.16,,1.6189,1.0,R001,,,2
,,0.12,,1.6283,1.0,R001,,,3
,,0.2,,1.6571,1.0,R001,,,4
,,0.24,,1.6761,1.0,R001,,,5
,,0.12,,1.6976,1.0,R001,,,6
,,0.36,,1.6959,1.0,R001,,,7
,,0.36,,1.6938,1.0,R001,,,8
,,0.24,,1.7068,1.0,R001,,,9
,,0.36,,1.713,1.0,R001,,,10
,,0.36,,1.7314,1.0,R001,,,11
,,0.32,,1.7139,1.0,R001,,,12
,,0.2,,1.7094,1.0,R001,,,13
,,0.24,,1.7212,1.0,R001,,,14
,,0.4,,1.7083,1.0,R001,,,15
,,0.36,,1.7214,1.0,R001,,,16
,,0.4,,1.7088,1.0,R001,,,17
,,0.4,,1.7395,1.0,R001,,,18
,,0.52,,1.7163,1.0,R001,,,19
,,0.48,,1.7409,1.0,R001,,,20
,,0.36,,1.7813,1.0,R001,,,21
,,0.52,,1.7781,1.0,R001,,,22
,,0.48,,1.7869,1.0,R001,,,23
,,0.44,,1.7853,1.0,R001,,,24
blind_first,1.5876,,0.9167,1.7853,,R001,0.1977,0,exam
,,0.88,,1.2112,0.12,R002,,,1
,,0.76,,1.1651,0.2,R002,,,2
,,0.84,,1.1494,0.12,R002,,,3
,,0.84,,1.1119,0.16,R002,,,4
,,0.8,,1.105,0.16,R002,,,5
,,0.84,,1.0687,0.16,R002,,,6
,,0.84,,1.0525,0.12,R002,,,7
,,0.76,,1.0246,0.2,R002,,,8
,,0.8,,1.0046,0.2,R002,,,9
,,0.88,,0.9548,0.12,R002,,,10
,,0.76,,0.9196,0.2,R002,,,11
,,0.84,,0.8799,0.12,R002,,,12
,,0.84,,0.8451,0.16,R002,,,13
,,0.8,,0.8043,0.12,R002,,,14
,,0.76,,0.7762,0.2,R002,,,15
,,0.72,,0.7183,0.28,R002,,,16
,,0.88,,0.6737,0.08,R002,,,17
,,0.76,,0.6343,0.2,R002,,,18
,,0.72,,0.6079,0.24,R002,,,19
,,0.8,,0.5951,0.16,R002,,,20
,,0.68,,0.5476,0.24,R002,,,21
,,0.76,,0.4872,0.2,R002,,,22
,,0.76,,0.4554,0.2,R002,,,23
,,0.84,,0.4041,0.12,R002,,,24
withheld_ai,1.2736,,0.65,0.4041,,R002,-0.8695,0,exam
,,0.4,,1.7586,0.4,R003,,,1
,,0.44,,1.7578,0.4,R003,,,2
,,0.16,,1.7709,0.64,R003,,,3
,,0.36,,1.7535,0.48,R003,,,4
,,0.36,,1.7501,0.44,R003,,,5
,,0.48,,1.7134,0.4,R003,,,6
,,0.36,,1.6987,0.52,R003,,,7
,,0.4,,1.6589,0.52,R003,,,8
,,0.52,,1.6341,0.36,R003,,,9
,,0.56,,1.5992,0.4,R003,,,10
,,0.52,,1.5862,0.4,R003,,,11
,,0.48,,1.5876,0.48,R003,,,12
,,0.36,,1.5813,0.64,R003,,,13
,,0.44,,1.5683,0.6,R003,,,14
,,0.52,,1.5367,0.4,R003,,,15
,,0.44,,1.5161,0.44,R003,,,16
,,0.32,,1.5148,0.4,R003,,,17
,,0.56,,1.4532,0.4,R003,,,18
,,0.56,,1.3957,0.44,R003,,,19
,,0.6,,1.3596,0.56,R003,,,20
,,0.64,,1.3227,0.6,R003,,,21
,,0.64,,1.2974,0.52,R003,,,22
,,0.6,,1.2737,0.36,R003,,,23
,,0.68,,1.2684,0.56,R003,,,24
disagreement_prompt,1.7362,,0.8833,1.2684,,R003,-0.4678,0,exam
,,0.52,,0.886,0.08,R004,,,1
,,0.68,,0.8182,0.0,R004,,,2
,,0.4,,0.8003,0.04,R004,,,3
,,0.52,,0.7928,0.12,R004,,,4
,,0.48,,0.8025,0.04,R004,,,5
,,0.52,,0.7945,0.08,R004,,,6
,,0.68,,0.768,0.08,R004,,,7
,,0.56,,0.7709,0.12,R004,,,8
,,0.56,,0.7633,0.12,R004,,,9
,,0.68,,0.7085,0.04,R004,,,10
,,0.68,,0.6816,0.0,R004,,,11
,,0.68,,0.6185,0.0,R004,,,12
,,0.8,,0.5678,0.04,R004,,,13
,,0.68,,0.5376,0.16,R004,,,14
,,0.64,,0.5295,0.08,R004,,,15
,,0.76,,0.4619,0.08,R004,,,16
,,0.56,,0.4175,0.12,R004,,,17
,,0.68,,0.3912,0.12,R004,,,18
,,0.88,,0.3519,0.04,R004,,,19
,,0.84,,0.3001,0.08,R004,,,20
,,0.8,,0.2683,0.04,R004,,,21
,,0.84,,0.216,0.12,R004,,,22
,,0.84,,0.168,0.04,R004,,,23
,,0.88,,0.1205,0.08,R004,,,24
control_always_ai,0.9045,,0.7,0.1205,,R004,-0.784,0,exam
,,0.08,,0.859,1.0,R005,,,1
,,0.0,,0.8731,1.0,R005,,,2
,,0.08,,0.8912,1.0,R005,,,3
,,0.04,,0.9489,1.0,R005,,,4
,,0.04,,0.9879,1.0,R005,,,5
,,0.0,,1.0284,1.0,R005,,,6
,,0.04,,1.0304,1.0,R005,,,7
,,0.08,,1.0467,1.0,R005,,,8
,,0.04,,1.0779,1.0,R005,,,9
,,0.08,,1.1083,1.0,R005,,,10
,,0.04,,1.1071,1.0,R005,,,11
,,0.08,,1.1376,1.0,R005,,,12
,,0.04,,1.1492,1.0,R005,,,13
,,0.08,,1.2063,1.0,R005,,,14
,,0.04,,1.2379,1.0,R005,,,15
,,0.04,,1.2474,1.0,R005,,,16
,,0.0,,1.2868,1.0,R005,,,17
,,0.12,,1.3477,1.0,R005,,,18
,,0.04,,1.4198,1.0,R005,,,19
,,0.0,,1.4685,1.0,R005,,,20
,,0.08,,1.4743,1.0,R005,,,21
,,0.04,,1.4762,1.0,R005,,,22
,,0.0,,1.469,1.0,R005,,,23
,,0.04,,1.4707,1.0,R005,,,24
blind_first,0.8381,,0.95,1.4707,,R005,0.6326,1,exam
,,0.52,,1.0218,0.16,R006,,,1
,,0.48,,1.0145,0.16,R006,,,2
,,0.6,,1.0175,0.16,R006,,,3
,,0.36,,1.0074,0.08,R006,,,4
,,0.56,,0.9502,0.24,R006,,,5
,,0.48,,0.9435,0.24,R006,,,6
,,0.48,,0.9192,0.12,R006,,,7
,,0.84,,0.9045,0.04,R006,,,8
,,0.6,,0.8609,0.08,R006,,,9
,,0.48,,0.8432,0.2,R006,,,10
,,0.56,,0.8038,0.16,R006,,,11
,,0.64,,0.7903,0.2,R006,,,12
,,0.44,,0.7792,0.24,R006,,,13
,,0.6,,0.7469,0.12,R006,,,14
,,0.6,,0.7421,0.12,R006,,,15
,,0.64,,0.716,0.2,R006,,,16
,,0.84,,0.6454,0.08,R006,,,17
,,0.72,,0.5952,0.2,R006,,,18
,,0.52,,0.5708,0.24,R006,,,19
,,0.76,,0.5259,0.12,R006,,,20
,,0.6,,0.4901,0.28,R006,,,21
,,0.76,,0.4785,0.08,R006,,,22
,,0.88,,0.4373,0.12,R006,,,23
,,0.76,,0.4047,0.24,R006,,,24
withheld_ai,1.0536,,0.65,0.4047,,R006,-0.6489,0,exam
,,0.08,,1.6397,0.56,R007,,,1
,,0.08,,1.65,0.6,R007,,,2
,,0.2,,1.6548,0.52,R007,,,3
,,0.08,,1.6289,0.28,R007,,,4
,,0.16,,1.6568,0.48,R007,,,5
,,0.32,,1.6175,0.32,R007,,,6
,,0.4,,1.6106,0.52,R007,,,7
,,0.16,,1.6224,0.56,R007,,,8
,,0.16,,1.6199,0.4,R007,,,9
,,0.36,,1.5833,0.6,R007,,,10
,,0.32,,1.6002,0.24,R007,,,11
,,0.24,,1.6344,0.24,R007,,,12
,,0.28,,1.6435,0.6,R007,,,13
,,0.32,,1.6686,0.64,R007,,,14
,,0.44,,1.6431,0.44,R007,,,15
,,0.24,,1.6475,0.56,R007,,,16
,,0.32,,1.6441,0.48,R007,,,17
,,0.36,,1.6166,0.56,R007,,,18
,,0.28,,1.5798,0.56,R007,,,19
,,0.2,,1.5834,0.48,R007,,,20
,,0.44,,1.6201,0.4,R007,,,21
,,0.24,,1.5869,0.52,R007,,,22
,,0.4,,1.606,0.48,R007,,,23
,,0.48,,1.5955,0.48,R007,,,24
disagreement_prompt,1.5949,,0.9,1.5955,,R007,0.0006,0,exam
,,0.76,,1.1442,0.04,R008,,,1
,,0.84,,1.0993,0.04,R008,,,2
,,0.56,,1.071,0.08,R008,,,3
,,0.52,,1.057,0.08,R008,,,4
,,0.64,,1.0039,0.12,R008,,,5
,,0.48,,0.9518,0.08,R008,,,6
,,0.72,,0.8895,0.12,R008,,,7
,,0.72,,0.8565,0.08,R008,,,8
,,0.68,,0.8396,0.2,R008,,,9
,,0.72,,0.8291,0.04,R008,,,10
,,0.72,,0.7811,0.08,R008,,,11
,,0.88,,0.7396,0.0,R008,,,12
,,0.92,,0.6789,0.0,R008,,,13
,,0.76,,0.6529,0.08,R008,,,14
,,0.84,,0.6025,0.12,R008,,,15
,,0.92,,0.5969,0.0,R008,,,16
,,0.92,,0.5703,0.04,R008,,,17
,,0.96,,0.5304,0.04,R008,,,18
,,0.96,,0.4526,0.04,R008,,,19
,,0.92,,0.4472,0.08,R008,,,20
,,0.92,,0.4229,0.04,R008,,,21
,,0.88,,0.399,0.04,R008,,,22
,,0.88,,0.3817,0.08,R008,,,23
,,0.92,,0.281,0.08,R008,,,24
control_always_ai,1.2103,,0.6333,0.281,,R008,-0.9294,0,exam
,,0.4,,1.1245,1.0,R009,,,1
,,0.4,,1.1159,1.0,R009,,,2
,,0.4,,1.1495,1.0,R009,,,3
,,0.32,,1.1693,1.0,R009,,,4
,,0.36,,1.2106,1.0,R009,,,5
,,0.44,,1.1954,1.0,R009,,,6
,,0.2,,1.1721,1.0,R009,,,7
,,0.24,,1.2054,1.0,R009,,,8
,,0.32,,1.2222,1.0,R009,,,9
,,0.52,,1.2367,1.0,R009,,,10
,,0.44,,1.2282,1.0,R009,,,11
,,0.32,,1.2311,1.0,R009,,,12
,,0.48,,1.2615,1.0,R009,,,13
,,0.32,,1.2411,1.0,R009,,,14
,,0.44,,1.2793,1.0,R009,,,15
,,0.36,,1.2825,1.0,R009,,,16
,,0.44,,1.3189,1.0,R009,,,17
,,0.4,,1.3188,1.0,R009,,,18
,,0.4,,1.3036,1.0,R009,,,19
,,0.52,,1.3215,1.0,R009,,,20
,,0.64,,1.2469,1.0,R009,,,21
,,0.44,,1.2435,1.0,R009,,,22
,,0.64,,1.2294,1.0,R009,,,23
,,0.56,,1.2733,1.0,R009,,,24
blind_first,1.0903,,0.85,1.2733,,R009,0.183,0,exam
,,0.68,,0.6372,0.04,R010,,,1
,,0.68,,0.6507,0.2,R010,,,2
,,0.88,,0.6293,0.0,R010,,,3
,,0.8,,0.5676,0.2,R010,,,4
,,0.56,,0.5288,0.28,R010,,,5
,,0.84,,0.502,0.16,R010,,,6
,,0.88,,0.4665,0.12,R010,,,7
,,0.8,,0.3991,0.12,R010,,,8
,,0.76,,0.3522,0.2,R010,,,9
,,0.68,,0.3074,0.24,R010,,,10
,,0.84,,0.2542,0.16,R010,,,11
,,0.64,,0.2088,0.32,R010,,,12
,,0.68,,0.1759,0.24,R010,,,13
,,0.84,,0.1479,0.12,R010,,,14
,,0.76,,0.139,0.24,R010,,,15
,,0.72,,0.1158,0.28,R010,,,16
,,0.68,,0.0757,0.28,R010,,,17
,,0.76,,0.05,0.24,R010,,,18
,,0.96,,0.05,0.04,R010,,,19
,,0.72,,0.0615,0.24,R010,,,20
,,0.76,,0.05,0.2,R010,,,21
,,0.72,,0.05,0.28,R010,,,22
,,0.76,,0.05,0.2,R010,,,23
,,0.76,,0.05,0.2,R010,,,24
withheld_ai,0.6829,,0.5833,0.05,,R010,-0.6329,0,exam
,,0.16,,1.383,0.4,R011,,,1
,,0.2,,1.3768,0.72,R011,,,2
,,0.16,,1.3703,0.36,R011,,,3
,,0.4,,1.3696,0.48,R011,,,4
,,0.4,,1.3617,0.6,R011,,,5
,,0.44,,1.3477,0.44,R011,,,6
,,0.24,,1.3306,0.48,R011,,,7
,,0.36,,1.3199,0.52,R011,,,8
,,0.28,,1.3236,0.44,R011,,,9
,,0.24,,1.3132,0.48,R011,,,10
,,0.44,,1.3457,0.32,R011,,,11
,,0.32,,1.3436,0.56,R011,,,12
,,0.36,,1.3627,0.4,R011,,,13
,,0.48,,1.3272,0.2,R011,,,14
,,0.24,,1.3355,0.64,R011,,,15
,,0.52,,1.3453,0.28,R011,,,16
,,0.4,,1.3168,0.44,R011,,,17
,,0.24,,1.3214,0.52,R011,,,18
,,0.52,,1.3176,0.4,R011,,,19
