participant_id,group,phase,item_id,true_label,response,correct,rt_ms,difficulty,hint_shown,hint_label,hint_correct,followed_hint
TEST-00000000,A,training,T01,AI,AI,TRUE,9200,easy,TRUE,AI,TRUE,TRUE
TEST-00000000,A,training,T02,Human,Human,TRUE,11500,easy,TRUE,Human,TRUE,TRUE
TEST-00000000,A,training,T03,AI,AI,TRUE,8900,easy,FALSE,AI,,
TEST-00000000,A,test,X01,AI,AI,TRUE,10200,easy,FALSE,,,
TEST-00000000,A,test,X02,Human,Human,TRUE,13400,easy,FALSE,,,
TEST-00000000,A,test,X03,AI,Human,FALSE,22100,medium,FALSE,,,
5bc55c7b-2b87-4a61-8c22-4c0d0cf633d0,A,training,T01,AI,,FALSE,4114,medium,TRUE,AI,TRUE,FALSE
5bc55c7b-2b87-4a61-8c22-4c0d0cf633d0,A,training,T02,Human,,FALSE,1251,easy,TRUE,Human,TRUE,FALSE
5bc55c7b-2b87-4a61-8c22-4c0d0cf633d0,A,training,T03,AI,,FALSE,793,medium,TRUE,AI,TRUE,FALSE
5bc55c7b-2b87-4a61-8c22-4c0d0cf633d0,A,training,T04,Human,,TRUE,817,easy,TRUE,Human,TRUE,TRUE
5bc55c7b-2b87-4a61-8c22-4c0d0cf633d0,A,training,T05,AI,,FALSE,808,medium,TRUE,AI,TRUE,FALSE
5bc55c7b-2b87-4a61-8c22-4c0d0cf633d0,A,training,T06,Human,,FALSE,765,easy,TRUE,AI,FALSE,TRUE
5bc55c7b-2b87-4a61-8c22-4c0d0cf633d0,A,training,T07,AI,,FALSE,989,medium,TRUE,AI,TRUE,FALSE
5bc55c7b-2b87-4a61-8c22-4c0d0cf633d0,A,training,T08,Human,,FALSE,758,medium,TRUE,Human,TRUE,FALSE
5bc55c7b-2b87-4a61-8c22-4c0d0cf633d0,A,training,T09,AI,,FALSE,790,medium,TRUE,AI,TRUE,FALSE
5bc55c7b-2b87-4a61-8c22-4c0d0cf633d0,A,training,T10,Human,,TRUE,623,medium,TRUE,Human,TRUE,TRUE
5bc55c7b-2b87-4a61-8c22-4c0d0cf633d0,A,training,T11,AI,,FALSE,485,medium,TRUE,AI,TRUE,FALSE
5bc55c7b-2b87-4a61-8c22-4c0d0cf633d0,A,training,T12,Human,,FALSE,623,medium,TRUE,AI,FALSE,TRUE
5bc55c7b-2b87-4a61-8c22-4c0d0cf633d0,A,training,T13,AI,,FALSE,553,medium,TRUE,Human,FALSE,FALSE
5bc55c7b-2b87-4a61-8c22-4c0d0cf633d0,A,training,T14,Human,,TRUE,513,medium,TRUE,AI,FALSE,FALSE
5bc55c7b-2b87-4a61-8c22-4c0d0cf633d0,A,training,T15,Human,,FALSE,777,easy,TRUE,Human,TRUE,FALSE
5bc55c7b-2b87-4a61-8c22-4c0d0cf633d0,A,training,T16,AI,,FALSE,774,medium,TRUE,Human,FALSE,FALSE
5bc55c7b-2b87-4a61-8c22-4c0d0cf633d0,A,training,T17,AI,,FALSE,877,easy,TRUE,AI,TRUE,FALSE
