family,subset,group,group_name,n,mean_phase2_acc,std_phase2_acc,mean_phase2_acc_above_chance,std_phase2_acc_above_chance
gk_study,all,A,Continuous-AI,23,0.5304347826086956,0.30216609311120096,0.06086956521739132,0.6043321862224019
gk_study,all,B,Periodic-Blind / intervention,24,0.5708333333333333,0.24223446540879368,0.1416666666666667,0.48446893081758735
gk_study,clean,A,Continuous-AI,20,0.5549999999999999,0.31701734968294715,0.11000000000000001,0.6340346993658943
gk_study,clean,B,Periodic-Blind / intervention,22,0.6,0.2309401076758503,0.19999999999999993,0.4618802153517006
item_level,all,A,Continuous-AI,7,0.39285714285714285,0.20952042746188146,-0.21428571428571427,0.4190408549237629
item_level,all,B,Periodic-Blind / intervention,5,0.45,0.31374750995027834,-0.1,0.6274950199005567
item_level,clean,A,Continuous-AI,3,0.4166666666666667,0.19094065395649332,-0.16666666666666666,0.38188130791298663
item_level,clean,B,Periodic-Blind / intervention,2,0.4375,0.08838834764831845,-0.125,0.1767766952966369
pooled,all,A,Continuous-AI,30,0.4983333333333333,0.28609539442752946,-0.0033333333333333288,0.5721907888550589
pooled,all,B,Periodic-Blind / intervention,29,0.5499999999999999,0.2538102497086019,0.1,0.5076204994172038
pooled,clean,A,Continuous-AI,23,0.5369565217391303,0.3039390606177001,0.07391304347826087,0.6078781212354002
pooled,clean,B,Periodic-Blind / intervention,24,0.5864583333333333,0.22614192910968386,0.1729166666666667,0.4522838582193677
