domain,bucket_lo,bucket_hi,mean_stated_confidence,n_cases,n_ai_correct,p_ai_correct,ci95_lo,ci95_hi,calibration_gap
ALL,0.05,0.1,0.087,1,0,0.0,0.0,0.7935,0.087
ALL,0.1,0.15,0.1332,8,0,0.0,0.0,0.3244,0.1332
ALL,0.15,0.2,0.1797,24,6,0.25,0.12,0.449,-0.0703
ALL,0.2,0.25,0.2258,54,18,0.3333,0.2224,0.4664,-0.1076
ALL,0.25,0.3,0.2773,102,47,0.4608,0.3672,0.5572,-0.1835
ALL,0.3,0.35,0.3247,161,76,0.472,0.3965,0.5489,-0.1474
ALL,0.35,0.4,0.3767,301,182,0.6047,0.5484,0.6582,-0.228
ALL,0.4,0.45,0.427,535,369,0.6897,0.6493,0.7275,-0.2628
ALL,0.45,0.5,0.4769,733,533,0.7271,0.6938,0.7581,-0.2502
ALL,0.5,0.55,0.5268,1138,916,0.8049,0.7809,0.8269,-0.2782
ALL,0.55,0.6,0.5762,1611,1336,0.8293,0.8101,0.8469,-0.2531
ALL,0.6,0.65,0.6263,2166,1843,0.8509,0.8353,0.8653,-0.2246
ALL,0.65,0.7,0.6756,2855,2482,0.8694,0.8565,0.8812,-0.1938
ALL,0.7,0.75,0.7259,3622,3222,0.8896,0.8789,0.8994,-0.1637
ALL,0.75,0.8,0.7752,4357,4031,0.9252,0.917,0.9326,-0.15
ALL,0.8,0.85,0.8254,4974,4666,0.9381,0.931,0.9444,-0.1127
ALL,0.85,0.9,0.8748,5214,4970,0.9532,0.9471,0.9586,-0.0784
ALL,0.9,0.95,0.9247,5117,4941,0.9656,0.9603,0.9703,-0.0409
ALL,0.95,1.0,0.9707,3027,2977,0.9835,0.9783,0.9874,-0.0128
chest_xray_triage,0.05,0.1,0.087,1,0,0.0,0.0,0.7935,0.087
chest_xray_triage,0.1,0.15,0.1313,6,0,0.0,0.0,0.3903,0.1313
chest_xray_triage,0.15,0.2,0.1792,20,6,0.3,0.1455,0.519,-0.1208
chest_xray_triage,0.2,0.25,0.2263,41,11,0.2683,0.1569,0.4193,-0.042
chest_xray_triage,0.25,0.3,0.2786,74,35,0.473,0.3634,0.5852,-0.1944
chest_xray_triage,0.3,0.35,0.325,112,53,0.4732,0.3832,0.565,-0.1483
chest_xray_triage,0.35,0.4,0.3756,208,123,0.5913,0.5235,0.6559,-0.2158
chest_xray_triage,0.4,0.45,0.4262,402,283,0.704,0.6576,0.7465,-0.2778
chest_xray_triage,0.45,0.5,0.4772,553,393,0.7107,0.6715,0.7469,-0.2335
chest_xray_triage,0.5,0.55,0.5268,841,687,0.8169,0.7893,0.8416,-0.29
chest_xray_triage,0.55,0.6,0.5763,1187,982,0.8273,0.8047,0.8477,-0.251
chest_xray_triage,0.6,0.65,0.6262,1591,1364,0.8573,0.8393,0.8736,-0.2311
chest_xray_triage,0.65,0.7,0.6758,2125,1853,0.872,0.8571,0.8855,-0.1962
chest_xray_triage,0.7,0.75,0.7259,2645,2354,0.89,0.8775,0.9013,-0.1641
chest_xray_triage,0.75,0.8,0.7751,3229,2991,0.9263,0.9168,0.9348,-0.1512
chest_xray_triage,0.8,0.85,0.8252,3620,3397,0.9384,0.9301,0.9458,-0.1132
chest_xray_triage,0.85,0.9,0.8746,3798,3621,0.9534,0.9462,0.9597,-0.0788
chest_xray_triage,0.9,0.95,0.9247,3715,3583,0.9645,0.958,0.97,-0.0398
chest_xray_triage,0.95,1.0,0.9708,2232,2195,0.9834,0.9772,0.9879,-0.0126
code_review,0.1,0.15,0.139,2,0,0.0,0.0,0.6576,0.139
code_review,0.15,0.2,0.182,4,0,0.0,0.0,0.4899,0.182
code_review,0.2,0.25,0.224,13,7,0.5385,0.2914,0.7679,-0.3145
code_review,0.25,0.3,0.2738,28,12,0.4286,0.2651,0.6093,-0.1547
code_review,0.3,0.35,0.324,49,23,0.4694,0.337,0.6062,-0.1454
code_review,0.35,0.4,0.3791,93,59,0.6344,0.533,0.7251,-0.2553
code_review,0.4,0.45,0.4293,133,86,0.6466,0.5623,0.7227,-0.2173
code_review,0.45,0.5,0.4761,180,140,0.7778,0.7116,0.8324,-0.3017
code_review,0.5,0.55,0.5266,297,229,0.771,0.72,0.8152,-0.2445
code_review,0.55,0.6,0.5758,424,354,0.8349,0.7966,0.8672,-0.2591
code_review,0.6,0.65,0.6263,575,479,0.833,0.8004,0.8613,-0.2067
code_review,0.65,0.7,0.675,730,629,0.8616,0.8347,0.8848,-0.1866
code_review,0.7,0.75,0.7259,977,868,0.8884,0.8672,0.9067,-0.1625
code_review,0.75,0.8,0.7754,1128,1040,0.922,0.9049,0.9362,-0.1466
code_review,0.8,0.85,0.8259,1354,1269,0.9372,0.923,0.9489,-0.1113
code_review,0.85,0.9,0.8754,1416,1349,0.9527,0.9403,0.9626,-0.0773
code_review,0.9,0.95,0.9246,1402,1358,0.9686,0.9581,0.9765,-0.044
code_review,0.95,1.0,0.9704,795,782,0.9836,0.9722,0.9904,-0.0133
