reviewer_id,domain,arm,years_exp,reliance_class,risk_level,intervention_type,frequency,over_reliance_rate,under_reliance_rate,deferred_rate_actual,ind_accuracy_est,ai_accuracy_domain,n_events_in_log,n_ai_shown_events,n_blind_cases_added,n_prompt_cases_added,n_probe_cases_added,n_cases_affected_total,p_worse_per_full_case,p_better_per_full_case,n_cases_made_worse,n_cases_made_better,net_wrong_cases_added,n_under_reliance_events,n_under_fixed_by_calib,n_practice_reps_gained,skill_gain_units,exam_acc_gain_est,arm_exam_baseline,projected_exam_with_intv,cost_per_exam_point,flags
C000,code_review,control_always_ai,4,UNDER,HIGH,confidence_calibration_feedback,1 feedback packet / 4 weeks (aligned to handoff cadence),0.039,0.1294,0.8262,0.7525,0.9046,600,564,0,0,0,0,0.185,0.0593,0.0,29.0,-29.0,73,29,0.0,0.0,0.0,0.609,0.609,0.0,under_reliance_high
C001,code_review,blind_first,19,WATCH,MEDIUM,forced_blind_cases (light) + disagreement_prompts (targeted),"weekly, reviewed biweekly",0.0839,0.0679,0.9214,0.7175,0.9046,600,560,70,52,0,122,0.2354,0.0631,22.6,6.1,16.5,38,15,88.5,0.2901,0.0307,0.817,0.8477,737.0,declining_trend; low_capability; already_blind_arm
C002,code_review,withheld_ai,8,APPROPRIATE,LOW,none,n/a (passive monitoring via normal handoff refresh),0.0589,0.0447,0.9309,0.8837,0.9046,600,492,0,0,0,0,0.0979,0.0785,0.0,0.0,0.0,22,9,0.0,0.0,0.0,0.697,0.697,inf,wide_interval
C003,code_review,disagreement_prompt,8,WATCH,MEDIUM,forced_blind_cases (light) + disagreement_prompts (targeted),"weekly, reviewed biweekly",0.0919,0.0126,0.9874,0.5544,0.9046,600,555,69,62,0,131,0.398,0.0522,39.8,5.2,34.6,7,3,98.7,0.3239,0.0342,0.8,0.8342,1162.6,wide_interval; low_capability
C004,code_review,control_always_ai,17,WATCH,MEDIUM,forced_blind_cases (light) + disagreement_prompts (targeted),"weekly, reviewed biweekly",0.0829,0.0144,0.9838,0.6202,0.9046,600,555,69,63,0,132,0.338,0.0582,34.0,5.9,28.1,8,3,98.9,0.3243,0.0343,0.609,0.6433,990.9,wide_interval; low_capability
C005,code_review,blind_first,10,APPROPRIATE,LOW,none,n/a (passive monitoring via normal handoff refresh),0.0758,0.0632,0.9025,0.8986,0.9046,600,554,0,0,0,0,0.0828,0.0774,0.0,0.0,0.0,35,14,0.0,0.0,0.0,0.817,0.817,inf,already_blind_arm
C006,code_review,withheld_ai,21,UNDER,HIGH,confidence_calibration_feedback,1 feedback packet / 4 weeks (aligned to handoff cadence),0.0275,0.1081,0.831,0.8425,0.9046,600,509,0,0,0,0,0.1184,0.0668,0.0,22.0,-22.0,55,22,0.0,0.0,0.0,0.697,0.697,0.0,under_reliance_high
C007,code_review,disagreement_prompt,14,WATCH,MEDIUM,forced_blind_cases (light) + disagreement_prompts (targeted),"weekly, reviewed biweekly",0.0721,0.0562,0.9297,0.8055,0.9046,600,569,71,41,0,112,0.1636,0.0715,15.0,6.5,8.4,32,13,85.1,0.279,0.0295,0.8,0.8295,507.6,wide_interval; low_capability
C008,code_review,control_always_ai,14,WATCH,MEDIUM,forced_blind_cases (light) + disagreement_prompts (targeted),"weekly, reviewed biweekly",0.0817,0.0462,0.9467,0.6657,0.9046,600,563,70,56,0,126,0.2863,0.0601,28.1,5.9,22.2,26,10,92.8,0.3043,0.0322,0.609,0.6412,872.4,wide_interval; low_capability
C009,code_review,blind_first,18,UNDER,HIGH,confidence_calibration_feedback,1 feedback packet / 4 weeks (aligned to handoff cadence),0.0661,0.1229,0.8532,0.7871,0.9046,600,545,0,0,0,0,0.1643,0.0641,0.0,27.0,-27.0,67,27,0.0,0.0,0.0,0.817,0.817,0.0,low_capability; under_reliance_high; already_blind_arm
