reviewer_id,state,forced_blind_freq_per_week,forced_blind_cases_24wk,cost_rate_per_case,expected_worse_outcomes_24wk
C000,under_reliant,0,0,0.112,0.0
C001,watch,1,24,0.112,2.69
C002,healthy,0,0,0.112,0.0
C003,watch,1,24,0.112,2.69
C004,watch,1,24,0.112,2.69
C005,healthy,0,0,0.112,0.0
C006,under_reliant,0,0,0.112,0.0
C007,watch,1,24,0.112,2.69
C008,watch,1,24,0.112,2.69
C009,under_reliant,0,0,0.112,0.0
C010,over_reliance_risk,3,72,0.112,8.06
C011,healthy,0,0,0.112,0.0
C012,healthy,0,0,0.112,0.0
C013,watch,1,24,0.112,2.69
C014,under_reliant,0,0,0.112,0.0
C015,healthy,0,0,0.112,0.0
R000,under_reliant,0,0,0.112,0.0
R001,healthy,0,0,0.112,0.0
R002,watch,1,24,0.112,2.69
R003,healthy,0,0,0.112,0.0
R004,watch,1,24,0.112,2.69
R005,under_reliant,0,0,0.112,0.0
R006,healthy,0,0,0.112,0.0
R007,healthy,0,0,0.112,0.0
R008,watch,1,24,0.112,2.69
R009,healthy,0,0,0.112,0.0
R010,over_reliance_risk,3,72,0.112,8.06
R011,healthy,0,0,0.112,0.0
R012,watch,1,24,0.112,2.69
R013,healthy,0,0,0.112,0.0
R014,watch,1,24,0.112,2.69
R015,healthy,0,0,0.112,0.0
R016,watch,1,24,0.112,2.69
R017,healthy,0,0,0.112,0.0
R018,watch,1,24,0.112,2.69
R019,watch,1,24,0.112,2.69
R020,watch,1,24,0.112,2.69
R021,under_reliant,0,0,0.112,0.0
R022,watch,1,24,0.112,2.69
R023,healthy,0,0,0.112,0.0
R024,watch,1,24,0.112,2.69
R025,healthy,0,0,0.112,0.0
R026,watch,1,24,0.112,2.69
R027,under_reliant,0,0,0.112,0.0
R028,watch,1,24,0.112,2.69
R029,under_reliant,0,0,0.112,0.0
R030,healthy,0,0,0.112,0.0
R031,under_reliant,0,0,0.112,0.0
R032,watch,1,24,0.112,2.69
R033,under_reliant,0,0,0.112,0.0
R034,under_reliant,0,0,0.112,0.0
R035,under_reliant,0,0,0.112,0.0
R036,watch,1,24,0.112,2.69
R037,watch,1,24,0.112,2.69
R038,watch,1,24,0.112,2.69
R039,watch,1,24,0.112,2.69
R040,under_reliant,0,0,0.112,0.0
R041,healthy,0,0,0.112,0.0
R042,under_reliant,0,0,0.112,0.0
R043,healthy,0,0,0.112,0.0
