reviewer_id,week,capability_estimate,interval_lo,interval_hi,deferred_rate,committed_rate,blind_sample_n
C000,24,0.6532,0.4634,0.8429,0.8262,0.1737,20
C001,24,0.8922,0.7025,0.99,0.9214,0.0786,20
C002,24,0.7605,0.5547,0.9664,0.9309,0.0691,17
C003,24,0.7725,0.5778,0.9672,0.9874,0.0126,19
C004,24,0.6293,0.4346,0.824,0.9838,0.0162,19
C005,24,0.871,0.6763,0.99,0.9025,0.0975,19
C006,24,0.763,0.563,0.9631,0.831,0.169,18
C007,24,0.8552,0.6654,0.99,0.9297,0.0703,20
C008,24,0.6569,0.4671,0.8467,0.9467,0.0533,20
C009,24,0.8697,0.675,0.99,0.8533,0.1468,19
C010,24,0.7169,0.511,0.9227,0.9939,0.006,17
C011,24,0.8381,0.6483,0.99,0.9093,0.0908,20
C012,24,0.6653,0.4756,0.8551,0.9154,0.0847,20
C013,24,0.9077,0.7179,0.99,0.9496,0.0504,20
C014,24,0.8042,0.6042,0.99,0.6984,0.3016,18
C015,24,0.8297,0.6349,0.99,0.8432,0.1568,19
R000,24,0.6531,0.4633,0.8429,0.9054,0.0946,20
R001,24,0.8729,0.6831,0.99,0.9096,0.0905,20
R002,24,0.7226,0.5168,0.9285,0.9879,0.012,17
R003,24,0.8646,0.6699,0.99,0.8953,0.1047,19
R004,24,0.6401,0.4454,0.8348,0.921,0.0789,19
R005,24,0.8831,0.6933,0.99,0.826,0.174,20
R006,24,0.6869,0.4868,0.8869,0.9503,0.0497,18
R007,24,0.8184,0.6287,0.99,0.8747,0.1252,20
R008,24,0.6164,0.4266,0.8062,0.9607,0.0393,20
R009,24,0.8685,0.6787,0.99,0.9096,0.0905,20
R010,24,0.6749,0.4691,0.8808,0.9753,0.0248,17
R011,24,0.844,0.6542,0.99,0.8931,0.107,20
R012,24,0.6467,0.452,0.8414,0.9641,0.0359,19
R013,24,0.8682,0.6784,0.99,0.933,0.067,20
R014,24,0.7276,0.5217,0.9334,0.9248,0.0752,17
R015,24,0.8704,0.6806,0.99,0.8931,0.1069,20
R016,24,0.6063,0.4166,0.7961,0.9554,0.0445,20
R017,24,0.8265,0.6367,0.99,0.919,0.081,20
R018,24,0.7237,0.5178,0.9295,0.9328,0.0672,17
R019,24,0.8069,0.6122,0.99,0.9619,0.0381,19
R020,24,0.6399,0.4501,0.8297,0.9717,0.0283,20
R021,24,0.8622,0.6724,0.99,0.8442,0.1558,20
R022,24,0.7239,0.5181,0.9298,0.9292,0.0708,17
R023,24,0.8245,0.6297,0.99,0.9388,0.0612,19
R024,24,0.6118,0.422,0.8016,0.9734,0.0266,20
R025,24,0.8632,0.6685,0.99,0.9048,0.0952,19
R026,24,0.7097,0.5038,0.9155,0.9155,0.0845,17
R027,24,0.8494,0.6596,0.99,0.7861,0.2139,20
R028,24,0.6003,0.4106,0.7901,0.9839,0.0161,20
R029,24,0.8378,0.6431,0.99,0.8528,0.1473,19
R030,24,0.7192,0.5134,0.925,0.931,0.069,17
R031,24,0.8588,0.6691,0.99,0.8739,0.1261,20
R032,24,0.6296,0.4398,0.8193,0.9502,0.0499,20
R033,24,0.8599,0.6652,0.99,0.8571,0.1428,19
R034,24,0.8186,0.6127,0.99,0.7465,0.2536,17
R035,24,0.8448,0.655,0.99,0.8732,0.1268,20
R036,24,0.6246,0.4299,0.8194,0.9801,0.0198,19
R037,24,0.884,0.6942,0.99,0.9661,0.0339,20
R038,24,0.6587,0.4529,0.8646,0.9618,0.0381,17
R039,24,0.8561,0.6664,0.99,0.9805,0.0196,20
R040,24,0.6144,0.4246,0.8042,0.8899,0.1101,20
R041,24,0.892,0.7023,0.99,0.8784,0.1217,20
R042,24,0.7324,0.5323,0.9324,0.8984,0.1016,18
R043,24,0.8962,0.7015,0.99,0.8797,0.1203,19
