reviewer_id,domain,arm,years_experience,n_ai_shown_events,over_reliance_n,over_reliance_rate,appropriate_reliance_n,appropriate_reliance_rate,under_reliance_n,under_reliance_rate,appropriate_skepticism_n,appropriate_skepticism_rate,override_rate
C000,code_review,control_always_ai,4,564,22,0.039,444,0.7872,73,0.1294,25,0.0443,0.1738
C001,code_review,blind_first,19,560,47,0.0839,469,0.8375,38,0.0679,6,0.0107,0.0786
C002,code_review,withheld_ai,8,492,29,0.0589,429,0.872,22,0.0447,12,0.0244,0.0691
C003,code_review,disagreement_prompt,8,555,51,0.0919,497,0.8955,7,0.0126,0,0.0,0.0126
C004,code_review,control_always_ai,17,555,46,0.0829,500,0.9009,8,0.0144,1,0.0018,0.0162
C005,code_review,blind_first,10,554,42,0.0758,458,0.8267,35,0.0632,19,0.0343,0.0975
C006,code_review,withheld_ai,21,509,14,0.0275,409,0.8035,55,0.1081,31,0.0609,0.169
C007,code_review,disagreement_prompt,14,569,41,0.0721,488,0.8576,32,0.0562,8,0.0141,0.0703
C008,code_review,control_always_ai,14,563,46,0.0817,487,0.865,26,0.0462,4,0.0071,0.0533
C009,code_review,blind_first,18,545,36,0.0661,429,0.7872,67,0.1229,13,0.0239,0.1468
C010,code_review,withheld_ai,19,495,55,0.1111,437,0.8828,2,0.004,1,0.002,0.0061
C011,code_review,disagreement_prompt,12,562,40,0.0712,471,0.8381,41,0.073,10,0.0178,0.0907
C012,code_review,control_always_ai,18,567,31,0.0547,488,0.8607,26,0.0459,22,0.0388,0.0847
C013,code_review,blind_first,21,575,50,0.087,496,0.8626,29,0.0504,0,0.0,0.0504
C014,code_review,withheld_ai,18,504,27,0.0536,325,0.6448,125,0.248,27,0.0536,0.3016
C015,code_review,disagreement_prompt,5,555,14,0.0252,454,0.818,35,0.0631,52,0.0937,0.1568
R000,chest_xray_triage,control_always_ai,12,581,45,0.0775,481,0.8279,44,0.0757,11,0.0189,0.0947
R001,chest_xray_triage,blind_first,12,564,27,0.0479,486,0.8617,24,0.0426,27,0.0479,0.0904
R002,chest_xray_triage,withheld_ai,16,498,38,0.0763,454,0.9116,5,0.01,1,0.002,0.012
R003,chest_xray_triage,disagreement_prompt,20,554,26,0.0469,470,0.8484,27,0.0487,31,0.056,0.1047
R004,chest_xray_triage,control_always_ai,3,557,55,0.0987,458,0.8223,33,0.0592,11,0.0197,0.079
R005,chest_xray_triage,blind_first,7,569,17,0.0299,453,0.7961,69,0.1213,30,0.0527,0.174
R006,chest_xray_triage,withheld_ai,3,503,34,0.0676,444,0.8827,20,0.0398,5,0.0099,0.0497
R007,chest_xray_triage,disagreement_prompt,5,567,21,0.037,475,0.8377,35,0.0617,36,0.0635,0.1252
R008,chest_xray_triage,control_always_ai,6,560,35,0.0625,503,0.8982,17,0.0304,5,0.0089,0.0393
R009,chest_xray_triage,blind_first,9,564,27,0.0479,486,0.8617,31,0.055,20,0.0355,0.0904
R010,chest_xray_triage,withheld_ai,1,485,50,0.1031,423,0.8722,9,0.0186,3,0.0062,0.0247
R011,chest_xray_triage,disagreement_prompt,17,561,29,0.0517,472,0.8414,40,0.0713,20,0.0357,0.107
R012,chest_xray_triage,control_always_ai,7,557,41,0.0736,496,0.8905,11,0.0197,9,0.0162,0.0359
R013,chest_xray_triage,blind_first,20,567,33,0.0582,496,0.8748,31,0.0547,7,0.0123,0.067
R014,chest_xray_triage,withheld_ai,20,492,36,0.0732,419,0.8516,25,0.0508,12,0.0244,0.0752
R015,chest_xray_triage,disagreement_prompt,15,571,38,0.0665,472,0.8266,40,0.0701,21,0.0368,0.1068
R016,chest_xray_triage,control_always_ai,2,561,45,0.0802,491,0.8752,15,0.0267,10,0.0178,0.0446
R017,chest_xray_triage,blind_first,7,568,37,0.0651,485,0.8539,27,0.0475,19,0.0335,0.081
R018,chest_xray_triage,withheld_ai,4,491,25,0.0509,433,0.8819,29,0.0591,4,0.0081,0.0672
R019,chest_xray_triage,disagreement_prompt,10,551,54,0.098,476,0.8639,14,0.0254,7,0.0127,0.0381
R020,chest_xray_triage,control_always_ai,10,566,53,0.0936,497,0.8781,13,0.023,3,0.0053,0.0283
R021,chest_xray_triage,blind_first,11,565,16,0.0283,461,0.8159,54,0.0956,34,0.0602,0.1558
R022,chest_xray_triage,withheld_ai,15,480,37,0.0771,409,0.8521,18,0.0375,16,0.0333,0.0708
R023,chest_xray_triage,disagreement_prompt,18,556,39,0.0701,483,0.8687,24,0.0432,10,0.018,0.0612
R024,chest_xray_triage,control_always_ai,4,564,53,0.094,496,0.8794,11,0.0195,4,0.0071,0.0266
