reviewer_id,week,case_id,domain,arm,independent_correct,source
C000,1,CASE026414,code_review,control_always_ai,1,ai_not_shown
C000,2,CASE026428,code_review,control_always_ai,1,ai_not_shown
C000,2,CASE026429,code_review,control_always_ai,0,ai_not_shown
C000,2,CASE026436,code_review,control_always_ai,1,ai_not_shown
C000,3,CASE026474,code_review,control_always_ai,1,ai_not_shown
C000,6,CASE026526,code_review,control_always_ai,0,ai_not_shown
C000,6,CASE026527,code_review,control_always_ai,1,ai_not_shown
C000,6,CASE026550,code_review,control_always_ai,1,ai_not_shown
C000,7,CASE026553,code_review,control_always_ai,1,ai_not_shown
C000,8,CASE026580,code_review,control_always_ai,0,ai_not_shown
C000,8,CASE026593,code_review,control_always_ai,1,ai_not_shown
C000,9,CASE026602,code_review,control_always_ai,1,ai_not_shown
C000,9,CASE026612,code_review,control_always_ai,1,ai_not_shown
C000,9,CASE026625,code_review,control_always_ai,0,ai_not_shown
C000,10,CASE026635,code_review,control_always_ai,1,ai_not_shown
C000,11,CASE026653,code_review,control_always_ai,0,ai_not_shown
C000,11,CASE026656,code_review,control_always_ai,0,ai_not_shown
C000,14,CASE026726,code_review,control_always_ai,1,ai_not_shown
C000,14,CASE026735,code_review,control_always_ai,1,ai_not_shown
C000,16,CASE026789,code_review,control_always_ai,1,ai_not_shown
C000,16,CASE026791,code_review,control_always_ai,0,ai_not_shown
C000,17,CASE026801,code_review,control_always_ai,0,ai_not_shown
C000,17,CASE026819,code_review,control_always_ai,1,ai_not_shown
C000,18,CASE026830,code_review,control_always_ai,1,ai_not_shown
C000,19,CASE026854,code_review,control_always_ai,1,ai_not_shown
C000,19,CASE026856,code_review,control_always_ai,1,ai_not_shown
C000,19,CASE026870,code_review,control_always_ai,1,ai_not_shown
C000,19,CASE026871,code_review,control_always_ai,1,ai_not_shown
C000,20,CASE026876,code_review,control_always_ai,1,ai_not_shown
C000,20,CASE026886,code_review,control_always_ai,1,ai_not_shown
C000,20,CASE026899,code_review,control_always_ai,1,ai_not_shown
C000,23,CASE026960,code_review,control_always_ai,1,ai_not_shown
C000,23,CASE026964,code_review,control_always_ai,1,ai_not_shown
C000,23,CASE026970,code_review,control_always_ai,1,ai_not_shown
C000,23,CASE026973,code_review,control_always_ai,1,ai_not_shown
C000,24,CASE026992,code_review,control_always_ai,1,ai_not_shown
C001,1,CASE027001,code_review,blind_first,1,ai_not_shown
C001,1,CASE027002,code_review,blind_first,1,blind_first_precommit
C001,1,CASE027003,code_review,blind_first,1,blind_first_precommit
C001,1,CASE027004,code_review,blind_first,0,blind_first_precommit
C001,1,CASE027005,code_review,blind_first,1,blind_first_precommit
C001,1,CASE027006,code_review,blind_first,0,blind_first_precommit
C001,1,CASE027007,code_review,blind_first,1,blind_first_precommit
C001,1,CASE027008,code_review,blind_first,1,blind_first_precommit
C001,1,CASE027009,code_review,blind_first,0,blind_first_precommit
C001,1,CASE027010,code_review,blind_first,1,blind_first_precommit
C001,1,CASE027011,code_review,blind_first,0,blind_first_precommit
C001,1,CASE027012,code_review,blind_first,0,blind_first_precommit
C001,1,CASE027013,code_review,blind_first,1,ai_not_shown
C001,1,CASE027014,code_review,blind_first,1,blind_first_precommit
C001,1,CASE027015,code_review,blind_first,1,blind_first_precommit
C001,1,CASE027016,code_review,blind_first,0,blind_first_precommit
C001,1,CASE027017,code_review,blind_first,1,blind_first_precommit
C001,1,CASE027018,code_review,blind_first,1,blind_first_precommit
C001,1,CASE027019,code_review,blind_first,1,blind_first_precommit
C001,1,CASE027020,code_review,blind_first,0,blind_first_precommit
C001,1,CASE027021,code_review,blind_first,1,blind_first_precommit
C001,1,CASE027022,code_review,blind_first,0,blind_first_precommit
C001,1,CASE027023,code_review,blind_first,1,ai_not_shown
C001,1,CASE027024,code_review,blind_first,1,blind_first_precommit
C001,1,CASE027025,code_review,blind_first,0,blind_first_precommit
C001,2,CASE027026,code_review,blind_first,0,blind_first_precommit
C001,2,CASE027027,code_review,blind_first,1,blind_first_precommit
C001,2,CASE027028,code_review,blind_first,1,blind_first_precommit
C001,2,CASE027029,code_review,blind_first,0,blind_first_precommit
C001,2,CASE027030,code_review,blind_first,1,blind_first_precommit
C001,2,CASE027031,code_review,blind_first,1,blind_first_precommit
C001,2,CASE027032,code_review,blind_first,1,blind_first_precommit
C001,2,CASE027033,code_review,blind_first,1,blind_first_precommit
C001,2,CASE027034,code_review,blind_first,1,blind_first_precommit
C001,2,CASE027035,code_review,blind_first,1,blind_first_precommit
C001,2,CASE027036,code_review,blind_first,1,ai_not_shown
C001,2,CASE027037,code_review,blind_first,0,blind_first_precommit
C001,2,CASE027038,code_review,blind_first,0,blind_first_precommit
C001,2,CASE027039,code_review,blind_first,0,blind_first_precommit
C001,2,CASE027040,code_review,blind_first,0,blind_first_precommit
C001,2,CASE027041,code_review,blind_first,0,blind_first_precommit
C001,2,CASE027042,code_review,blind_first,1,blind_first_precommit
C001,2,CASE027043,code_review,blind_first,1,blind_first_precommit
C001,2,CASE027044,code_review,blind_first,0,blind_first_precommit
C001,2,CASE027045,code_review,blind_first,1,blind_first_precommit
C001,2,CASE027046,code_review,blind_first,1,blind_first_precommit
C001,2,CASE027047,code_review,blind_first,1,blind_first_precommit
C001,2,CASE027048,code_review,blind_first,0,blind_first_precommit
C001,2,CASE027049,code_review,blind_first,0,ai_not_shown
C001,2,CASE027050,code_review,blind_first,0,blind_first_precommit
C001,3,CASE027051,code_review,blind_first,0,blind_first_precommit
C001,3,CASE027052,code_review,blind_first,0,blind_first_precommit
C001,3,CASE027053,code_review,blind_first,1,blind_first_precommit
C001,3,CASE027054,code_review,blind_first,0,blind_first_precommit
C001,3,CASE027055,code_review,blind_first,1,blind_first_precommit
C001,3,CASE027056,code_review,blind_first,0,blind_first_precommit
C001,3,CASE027057,code_review,blind_first,1,blind_first_precommit
C001,3,CASE027058,code_review,blind_first,1,blind_first_precommit
C001,3,CASE027059,code_review,blind_first,1,blind_first_precommit
C001,3,CASE027060,code_review,blind_first,0,blind_first_precommit
C001,3,CASE027061,code_review,blind_first,1,blind_first_precommit
C001,3,CASE027062,code_review,blind_first,1,ai_not_shown
C001,3,CASE027063,code_review,blind_first,1,blind_first_precommit
C001,3,CASE027064,code_review,blind_first,1,blind_first_precommit
C001,3,CASE027065,code_review,blind_first,1,blind_first_precommit
C001,3,CASE027066,code_review,blind_first,1,blind_first_precommit
