reviewer_id,domain,arm,years_experience,cases_per_week_target
R000,chest_xray_triage,control_always_ai,12,25
R001,chest_xray_triage,blind_first,12,25
R002,chest_xray_triage,withheld_ai,16,25
R003,chest_xray_triage,disagreement_prompt,20,25
R004,chest_xray_triage,control_always_ai,3,25
R005,chest_xray_triage,blind_first,7,25
R006,chest_xray_triage,withheld_ai,3,25
R007,chest_xray_triage,disagreement_prompt,5,25
R008,chest_xray_triage,control_always_ai,6,25
R009,chest_xray_triage,blind_first,9,25
R010,chest_xray_triage,withheld_ai,1,25
R011,chest_xray_triage,disagreement_prompt,17,25
R012,chest_xray_triage,control_always_ai,7,25
R013,chest_xray_triage,blind_first,20,25
R014,chest_xray_triage,withheld_ai,20,25
R015,chest_xray_triage,disagreement_prompt,15,25
R016,chest_xray_triage,control_always_ai,2,25
R017,chest_xray_triage,blind_first,7,25
R018,chest_xray_triage,withheld_ai,4,25
R019,chest_xray_triage,disagreement_prompt,10,25
R020,chest_xray_triage,control_always_ai,10,25
R021,chest_xray_triage,blind_first,11,25
R022,chest_xray_triage,withheld_ai,15,25
R023,chest_xray_triage,disagreement_prompt,18,25
R024,chest_xray_triage,control_always_ai,4,25
R025,chest_xray_triage,blind_first,13,25
R026,chest_xray_triage,withheld_ai,19,25
R027,chest_xray_triage,disagreement_prompt,9,25
R028,chest_xray_triage,control_always_ai,5,25
R029,chest_xray_triage,blind_first,6,25
R030,chest_xray_triage,withheld_ai,21,25
R031,chest_xray_triage,disagreement_prompt,13,25
R032,chest_xray_triage,control_always_ai,15,25
R033,chest_xray_triage,blind_first,4,25
R034,chest_xray_triage,withheld_ai,17,25
R035,chest_xray_triage,disagreement_prompt,11,25
R036,chest_xray_triage,control_always_ai,8,25
R037,chest_xray_triage,blind_first,16,25
R038,chest_xray_triage,withheld_ai,4,25
R039,chest_xray_triage,disagreement_prompt,18,25
R040,chest_xray_triage,control_always_ai,7,25
R041,chest_xray_triage,blind_first,20,25
R042,chest_xray_triage,withheld_ai,7,25
R043,chest_xray_triage,disagreement_prompt,21,25
C000,code_review,control_always_ai,4,25
C001,code_review,blind_first,19,25
C002,code_review,withheld_ai,8,25
C003,code_review,disagreement_prompt,8,25
C004,code_review,control_always_ai,17,25
C005,code_review,blind_first,10,25
C006,code_review,withheld_ai,21,25
C007,code_review,disagreement_prompt,14,25
C008,code_review,control_always_ai,14,25
C009,code_review,blind_first,18,25
C010,code_review,withheld_ai,19,25
C011,code_review,disagreement_prompt,12,25
C012,code_review,control_always_ai,18,25
C013,code_review,blind_first,21,25
C014,code_review,withheld_ai,18,25
C015,code_review,disagreement_prompt,5,25
