reviewer_id,week,arm,n_ai_shown,deferred_rate,committed_rate
C000,1,control_always_ai,24,0.3333333333333333,0.6666666666666667
C000,2,control_always_ai,22,0.22727272727272727,0.7727272727272727
C000,3,control_always_ai,24,0.375,0.625
C000,4,control_always_ai,25,0.16,0.84
C000,5,control_always_ai,25,0.2,0.8
C000,6,control_always_ai,22,0.13636363636363635,0.8636363636363636
C000,7,control_always_ai,24,0.125,0.875
C000,8,control_always_ai,23,0.13043478260869565,0.8695652173913043
C000,9,control_always_ai,22,0.36363636363636365,0.6363636363636364
C000,10,control_always_ai,24,0.20833333333333334,0.7916666666666666
C000,11,control_always_ai,23,0.21739130434782608,0.782608695652174
C000,12,control_always_ai,25,0.2,0.8
C000,13,control_always_ai,25,0.2,0.8
C000,14,control_always_ai,23,0.30434782608695654,0.6956521739130435
C000,15,control_always_ai,25,0.28,0.72
C000,16,control_always_ai,23,0.13043478260869565,0.8695652173913043
C000,17,control_always_ai,23,0.13043478260869565,0.8695652173913043
C000,18,control_always_ai,24,0.375,0.625
C000,19,control_always_ai,21,0.14285714285714285,0.8571428571428572
C000,20,control_always_ai,22,0.36363636363636365,0.6363636363636364
C000,21,control_always_ai,25,0.32,0.6799999999999999
C000,22,control_always_ai,25,0.16,0.84
C000,23,control_always_ai,21,0.2857142857142857,0.7142857142857143
C000,24,control_always_ai,24,0.25,0.75
C001,1,blind_first,22,0.6363636363636364,0.36363636363636365
C001,2,blind_first,23,0.4782608695652174,0.5217391304347826
C001,3,blind_first,24,0.875,0.125
C001,4,blind_first,25,0.84,0.16000000000000003
C001,5,blind_first,24,0.7916666666666666,0.20833333333333337
C001,6,blind_first,25,0.6,0.4
C001,7,blind_first,23,0.4782608695652174,0.5217391304347826
C001,8,blind_first,22,0.9090909090909091,0.09090909090909094
C001,9,blind_first,23,0.782608695652174,0.21739130434782605
C001,10,blind_first,23,0.6956521739130435,0.30434782608695654
C001,11,blind_first,24,0.7916666666666666,0.20833333333333337
C001,12,blind_first,23,0.8260869565217391,0.17391304347826086
C001,13,blind_first,22,0.8636363636363636,0.13636363636363635
C001,14,blind_first,23,0.9130434782608695,0.08695652173913049
C001,15,blind_first,24,0.75,0.25
C001,16,blind_first,23,0.782608695652174,0.21739130434782605
C001,17,blind_first,23,0.5652173913043478,0.4347826086956522
C001,18,blind_first,23,0.8260869565217391,0.17391304347826086
C001,19,blind_first,22,0.7727272727272727,0.2272727272727273
C001,20,blind_first,21,0.7619047619047619,0.23809523809523814
C001,21,blind_first,24,0.875,0.125
C001,22,blind_first,24,0.8333333333333334,0.16666666666666663
